k;N;
liczba powtórzeń;ilość liczb w pliku;czas [s]
;;
1000;10;0.00011
1000;10;9e-05
1000;10;2e-05
1000;50;0.00014
1000;100;0.00052
1000;250;0.00167
1000;500;0.00732
1000;750;0.02097
1000;1000;0.027
1000;2500;0.13017
1000;5000;0.51422
10;10;0
1000;10;2e-05
1000;50;0.00018
1000;100;0.00057
1000;250;0.00226
1000;500;0.00873
1000;750;0.01658
1000;1000;0.0293
1000;2500;0.18014
1000;5000;0.75374
1000;10;1e-05
1000;50;0.00014
1000;100;0.00043
1000;250;0.00159
1000;500;0.00701
1000;750;0.02116
1000;1000;0.01586
1000;2500;0.13053
1;10;0
1;10;0
1000;10;0
1000;50;0.00017
1;10;0
1000;10;1e-05
1000;50;0.0002
1000;10;7e-05
1000;50;0.00094
1000;100;0.00381
1000;250;0.02082
1000;500;0.0787
1000;750;0.18838
1000;1000;0.33585
1000;2500;2.0926
